  PID TTY          TIME CMD
 1285 tty1     00:00:00 gsd-smartcard
 1289 tty1     00:00:00 gsd-sound
 1293 tty1     00:00:00 gsd-wacom
 1309 tty1     00:00:00 ibus-engine-sim
 1347 ?        00:00:00 colord
 1381 ?        00:00:00 gdm-session-wor
 1384 ?        00:00:00 systemd
 1385 ?        00:00:00 (sd-pam)
 1398 ?        00:00:00 gnome-keyring-d
 1402 tty2     00:00:00 gdm-x-session
 1404 tty2     00:00:48 Xorg
 1418 ?        00:00:00 dbus-daemon
 1421 tty2     00:00:00 gnome-session-b
 1522 ?        00:00:00 ssh-agent
 1525 ?        00:00:00 at-spi-bus-laun
 1530 ?        00:00:00 dbus-daemon
 1532 ?        00:00:00 at-spi2-registr
 1550 tty2     00:00:52 gnome-shell
 1557 ?        00:00:00 gvfsd
 1562 ?        00:00:00 gvfsd-fuse
 1573 ?        00:00:13 pulseaudio
 1586 ?        00:00:00 krfcommd
 1589 tty2     00:00:00 ibus-daemon
 1592 ?        00:00:00 xdg-permission-
 1597 tty2     00:00:00 ibus-dconf
 1599 tty2     00:00:00 ibus-x11
 1601 ?        00:00:00 ibus-portal
 1611 ?        00:00:00 gnome-shell-cal
 1623 ?        00:00:00 dconf-service
 1624 ?        00:00:00 evolution-sourc
 1625 ?        00:00:00 gvfs-udisks2-vo
 1634 ?        00:00:00 gvfs-mtp-volume
 1638 ?        00:00:00 gvfs-afc-volume
 1641 ?        00:00:00 goa-daemon
 1646 ?        00:00:00 gvfs-goa-volume
 1657 ?        00:00:00 goa-identity-se
 1662 ?        00:00:00 gvfs-gphoto2-vo
 1666 tty2     00:00:00 gsd-power
 1668 tty2     00:00:00 gsd-print-notif
 1669 tty2     00:00:00 gsd-rfkill
 1670 tty2     00:00:00 gsd-screensaver
 1673 tty2     00:00:00 gsd-sharing
 1680 tty2     00:00:00 gsd-sound
 1689 tty2     00:00:00 gsd-xsettings
 1696 tty2     00:00:00 gsd-wacom
 1697 tty2     00:00:00 gsd-smartcard
 1699 tty2     00:00:00 gsd-clipboard
 1701 tty2     00:00:00 gsd-a11y-settin
 1703 tty2     00:00:00 gsd-datetime
 1705 tty2     00:00:00 gsd-color
 1706 tty2     00:00:00 gsd-keyboard
 1710 tty2     00:00:00 gsd-housekeepin
 1716 tty2     00:00:00 gsd-mouse
 1719 tty2     00:00:00 gsd-media-keys
 1748 ?        00:00:00 evolution-calen
 1763 tty2     00:00:00 gsd-printer
 1777 tty2     00:00:00 gsd-disk-utilit
 1783 tty2     00:00:01 nautilus-deskto
 1798 tty2     00:00:00 ibus-engine-sim
 1823 ?        00:00:00 gvfsd-trash
 1841 ?        00:00:00 evolution-calen
 1869 ?        00:00:00 evolution-addre
 1881 ?        00:00:00 evolution-addre
 1918 ?        00:00:00 gvfsd-metadata
 1954 tty2     00:02:19 firefox
 1959 ?        00:00:00 dhclient
 2128 tty2     00:00:02 Web Content
 2155 tty2     00:00:09 Web Content
 2212 tty2     00:00:01 WebExtensions
 2266 tty2     00:00:28 Web Content
 2352 ?        00:00:00 kworker/u8:5
 2379 tty2     00:00:00 update-notifier
 2381 tty2     00:00:04 gnome-software
 2410 tty2     00:04:18 Web Content
 2448 ?        00:00:00 fwupd
 2500 tty2     00:00:00 Web Content
 2595 tty2     00:00:00 deja-dup-monito
 2603 ?        00:00:00 dconf-service
 2660 ?        00:00:00 kworker/0:0
 2664 ?        00:00:00 kworker/1:0
 2707 ?        00:00:00 kworker/u8:2
 2893 ?        00:00:00 kworker/0:2
 2901 ?        00:00:00 kworker/1:1
 2909 ?        00:00:00 kworker/2:1
 2911 ?        00:00:02 nautilus
 3102 ?        00:00:00 kworker/u8:3
 3103 ?        00:00:00 kworker/1:2
 3459 ?        00:00:00 kworker/3:0
 3486 ?        00:00:00 kworker/0:1
 3502 ?        00:00:00 kworker/u8:4
 3513 ?        00:00:06 code
 3515 ?        00:00:00 code
 3559 ?        00:00:03 code
 3598 ?        00:00:18 code
 3639 ?        00:00:03 code
 3662 ?        00:00:01 Microsoft.VSCod
 3689 ?        00:00:01 Microsoft.VSCod
 3700 ?        00:00:01 Microsoft.VSCod
 3714 ?        00:00:00 code
 3741 ?        00:00:00 kworker/0:3
 3746 ?        00:00:00 kworker/2:2
 3753 ?        00:00:00 kworker/3:1
 3763 pts/0    00:00:00 bash
 3836 pts/0    00:00:00 a.out
 3839 pts/0    00:00:00 sh
 3840 pts/0    00:00:00 ps
